task,draft_precision,quant_method,gamma,num_prompts,acceptance_rate_mean,acceptance_rate_std,mean_accepted_length_mean,position_1_acceptance,position_2_acceptance,position_3_acceptance,position_4_acceptance,draft_time_ms_mean,total_wall_time_ms_mean,tokens_per_second_mean,quality_mean,semantic_exact_match_mean,semantic_normalized_match_mean,semantic_token_f1_mean,semantic_length_ratio_mean,draft_cost_share_mean,draft_forward_calls_mean,draft_model_forward_time_ms_mean,draft_model_forward_ms_per_call,draft_input_tokens_per_forward,draft_extend_cache_ratio,draft_cache_reset_calls_mean,draft_propose_calls_mean,draft_model_generate_time_ms_mean,draft_model_generate_ms_per_call,draft_generated_tokens_per_call,target_forward_calls_mean,target_model_forward_time_ms_mean,target_model_forward_ms_per_call
chat,int4,gptq_marlin,4,30,0.4664087301587302,0.16821014562956232,1.8656349206349208,0.7308333333333333,0.5187301587301587,0.35797619047619045,0.2580952380952381,263.5786334673564,888.4843541309237,18.177201186894493,1.0,1.0,1.0,1.0,1.0,0.29324826503687235,0.0,0.0,0.0,0.0,0.0,0.0,6.1,263.4968392550945,43.12690015438767,4.0,16.0,616.2005707000693,38.51253566875433
reasoning,int4,gptq_marlin,4,30,0.5662647306397306,0.20956385301541303,2.2650589225589224,0.7463383838383838,0.5727272727272728,0.5110858585858585,0.4349074074074074,240.0410434231162,887.8848225499192,18.453579456596007,1.0,1.0,1.0,1.0,1.0,0.2680238206826145,0.0,0.0,0.0,0.0,0.0,0.0,5.533333333333333,239.96823653578758,43.544030649954394,4.0,16.0,639.040083438158,39.94000521488488
