task,draft_precision,quant_method,gamma,num_prompts,acceptance_rate_mean,acceptance_rate_std,acceptance_rate_ci_low,acceptance_rate_ci_high,mean_accepted_length_mean,mean_accepted_length_ci_low,mean_accepted_length_ci_high,position_1_acceptance,position_1_acceptance_ci_low,position_1_acceptance_ci_high,position_2_acceptance,position_2_acceptance_ci_low,position_2_acceptance_ci_high,position_3_acceptance,position_3_acceptance_ci_low,position_3_acceptance_ci_high,position_4_acceptance,position_4_acceptance_ci_low,position_4_acceptance_ci_high,draft_time_ms_mean,draft_time_ms_ci_low,draft_time_ms_ci_high,total_wall_time_ms_mean,total_wall_time_ms_ci_low,total_wall_time_ms_ci_high,tokens_per_second_mean,tokens_per_second_ci_low,tokens_per_second_ci_high,quality_mean,quality_ci_low,quality_ci_high,semantic_exact_match_mean,semantic_normalized_match_mean,semantic_token_f1_mean,semantic_length_ratio_mean,task_exact_match_mean,task_exact_match_ci_low,task_exact_match_ci_high,draft_cost_share_mean,draft_cost_share_ci_low,draft_cost_share_ci_high,draft_forward_calls_mean,draft_model_forward_time_ms_mean,draft_model_forward_ms_per_call,draft_input_tokens_per_forward,draft_extend_cache_ratio,draft_cache_reset_calls_mean,draft_propose_calls_mean,draft_model_generate_time_ms_mean,draft_model_generate_ms_per_call,draft_generated_tokens_per_call,target_forward_calls_mean,target_model_forward_time_ms_mean,target_model_forward_ms_per_call
chat,bf16,none,4,30,0.4917526455026455,0.1702746167807095,0.42986772486772484,0.560327380952381,1.967010582010582,1.7194708994708994,2.241309523809524,0.7350529100529101,0.6802116402116402,0.7931481481481482,0.5474470899470899,0.4691137566137566,0.6242063492063492,0.395978835978836,0.3158994708994709,0.4847222222222222,0.28853174603174603,0.20892857142857144,0.3778968253968254,273.21728840470314,248.34283695866665,298.338880079488,775.1510731875896,741.5335052336255,808.3779025822878,20.90999105572597,20.04533424161494,21.829125485094938,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3489758299123014,0.32648295200662364,0.37154474108829605,0.0,0.0,0.0,0.0,0.0,0.0,5.866666666666666,272.37923455735046,46.584716342468425,4.0,16.0,494.5524934058388,30.909530837864924
chat,int4,gptq_marlin,4,30,0.4664087301587302,0.16821014562956232,0.4008333333333333,0.5341369047619048,1.8656349206349208,1.6033333333333333,2.136547619047619,0.7308333333333333,0.6716269841269841,0.7877380952380952,0.5187301587301587,0.4438888888888889,0.5946825396825397,0.35797619047619045,0.2773809523809524,0.4417857142857143,0.2580952380952381,0.17706349206349206,0.34075396825396825,188.55806924402714,172.24873192608356,205.3673498953382,604.7705286492904,586.6600878536701,624.8563435549537,26.63955837884034,25.81226581344562,27.413904216722138,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30859765673509926,0.28939870005764073,0.3272829598051838,0.0,0.0,0.0,0.0,0.0,0.0,6.1,188.49746733903885,30.913843780179462,4.0,16.0,410.879150715967,25.679946919747938
chat,int8,gptq,4,30,0.4912896825396825,0.16906544963345752,0.43197420634920636,0.560704365079365,1.96515873015873,1.7278968253968254,2.24281746031746,0.7273809523809524,0.6749206349206349,0.7858730158730158,0.5440079365079366,0.47174603174603175,0.6188888888888889,0.4068253968253968,0.3319047619047619,0.4928174603174603,0.28694444444444445,0.21162698412698414,0.37932539682539684,202.87606424341598,186.44451647996902,219.5840148255229,616.9714219868183,600.556441458563,632.2468152269721,26.066517428698614,25.416540027446423,26.789734866979703,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32608168867884807,0.30628608475663854,0.3444323667764188,0.0,0.0,0.0,0.0,0.0,0.0,5.866666666666666,202.82040691624084,34.606774850778045,4.0,16.0,408.74372453739244,25.546482783587027
reasoning,bf16,none,4,30,0.5545006613756613,0.1964939273243683,0.4833597883597884,0.6211640211640211,2.2180026455026454,1.9334391534391535,2.4846560846560846,0.7252380952380952,0.6578571428571428,0.7871428571428571,0.5635582010582011,0.49566137566137564,0.6215343915343915,0.4987169312169312,0.4156084656084656,0.5767460317460318,0.430489417989418,0.3392195767195767,0.5194841269841269,226.66299945364395,206.49693763504425,251.00341948370138,658.0011918519934,637.3953050623337,682.5174379472932,24.545765413573882,23.70541012242879,25.265460808391545,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3390258496428389,0.31903996748640245,0.36110876013661175,0.0,0.0,0.0,0.0,0.0,0.0,5.533333333333333,226.60168055444956,41.153199395839934,4.0,16.0,425.6282950441043,26.601768440256517
reasoning,int4,gptq_marlin,4,30,0.5662647306397306,0.20956385301541303,0.4943518518518519,0.6378935185185185,2.2650589225589224,1.9774074074074075,2.551574074074074,0.7463383838383838,0.6724074074074075,0.8192592592592592,0.5727272727272728,0.5018013468013468,0.6387878787878788,0.5110858585858585,0.43034511784511786,0.5913888888888889,0.4349074074074074,0.3460185185185185,0.5238888888888888,174.73055298129717,155.10639790445566,196.2559980650743,599.3737634271383,577.5269712631901,623.0118407557408,26.99385662704737,26.00628925279973,27.922752021765824,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2858911139164713,0.26460885238486803,0.30837198360079704,0.0,0.0,0.0,0.0,0.0,0.0,5.533333333333333,174.6733612070481,31.581284254883425,4.0,16.0,419.1348185141881,26.195926157136757
reasoning,int8,gptq,4,30,0.5515079365079365,0.19273341060710755,0.48072089947089947,0.6184986772486772,2.206031746031746,1.9228835978835979,2.473994708994709,0.7237830687830688,0.6574867724867725,0.7865079365079365,0.5563095238095238,0.48914021164021165,0.616574074074074,0.5017857142857143,0.42023809523809524,0.5788888888888889,0.42415343915343917,0.3384920634920635,0.5117857142857143,189.91305641829967,172.3229505121708,209.6520126486818,603.2434782634178,583.2548369963964,624.4644154484073,26.760278144830114,25.904804590117653,27.600616627373263,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3103118018849183,0.2905401148148608,0.33192077035212053,0.0,0.0,0.0,0.0,0.0,0.0,5.533333333333333,189.85630590468645,34.37467240454954,4.0,16.0,407.9753604407112,25.49846002754445
