task,draft_precision,quant_method,gamma,num_prompts,acceptance_rate_mean,acceptance_rate_std,mean_accepted_length_mean,position_1_acceptance,position_2_acceptance,position_3_acceptance,position_4_acceptance,draft_time_ms_mean,total_wall_time_ms_mean,tokens_per_second_mean,quality_mean,draft_cost_share_mean
chat,bf16,none,4,10,0.4875,0.15220314914978306,1.95,0.74,0.59,0.3725,0.2475,1278.2161239534616,2059.161758981645,8.282191015138965,1.0,0.6023527664062646
chat,int4,bnb,4,10,0.41985119047619046,0.11753661998102814,1.6794047619047618,0.6772619047619047,0.49273809523809525,0.30857142857142855,0.20083333333333334,3113.134570606053,4023.1091586872935,4.203121260527146,1.0,0.766906854042131
chat,int8,bnb,4,10,0.49166666666666664,0.15077059008086865,1.9666666666666666,0.7566666666666667,0.5941666666666666,0.385,0.23083333333333333,7389.447437413037,8336.153096705675,1.9705550521731727,1.0,0.8838931162742644
