task,draft_precision,quant_method,gamma,num_prompts,acceptance_rate_mean,acceptance_rate_std,acceptance_rate_ci_low,acceptance_rate_ci_high,mean_accepted_length_mean,mean_accepted_length_ci_low,mean_accepted_length_ci_high,position_1_acceptance,position_1_acceptance_ci_low,position_1_acceptance_ci_high,position_2_acceptance,position_2_acceptance_ci_low,position_2_acceptance_ci_high,position_3_acceptance,position_3_acceptance_ci_low,position_3_acceptance_ci_high,position_4_acceptance,position_4_acceptance_ci_low,position_4_acceptance_ci_high,draft_time_ms_mean,draft_time_ms_ci_low,draft_time_ms_ci_high,total_wall_time_ms_mean,total_wall_time_ms_ci_low,total_wall_time_ms_ci_high,tokens_per_second_mean,tokens_per_second_ci_low,tokens_per_second_ci_high,quality_mean,quality_ci_low,quality_ci_high,semantic_exact_match_mean,semantic_normalized_match_mean,semantic_token_f1_mean,semantic_length_ratio_mean,task_exact_match_mean,task_exact_match_ci_low,task_exact_match_ci_high,draft_cost_share_mean,draft_cost_share_ci_low,draft_cost_share_ci_high,draft_forward_calls_mean,draft_model_forward_time_ms_mean,draft_model_forward_ms_per_call,draft_input_tokens_per_forward,draft_extend_cache_ratio,draft_cache_reset_calls_mean,draft_propose_calls_mean,draft_model_generate_time_ms_mean,draft_model_generate_ms_per_call,draft_generated_tokens_per_call,target_forward_calls_mean,target_model_forward_time_ms_mean,target_model_forward_ms_per_call
chat,bf16,none,4,30,0.5097190456056823,0.07252993523117579,0.4864938695132019,0.5369164713699732,2.038876182422729,1.9459754780528076,2.147665885479893,0.7358661332045856,0.7178431591340224,0.7536663423895795,0.5594055168014029,0.5355858499937806,0.5843295373965206,0.41784819956953784,0.38693755393021645,0.4537025278225307,0.3257563328472028,0.29435242349831636,0.365086678047773,3368.710883023838,3259.4243918855987,3480.2062754829726,10026.201070037981,9892.909300203124,10157.092455215752,25.571386560493927,25.23552449730668,25.916713474107897,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3353170976766651,0.327825019690872,0.34224026997749635,0.0,0.0,0.0,0.0,0.0,0.0,85.13333333333334,3368.0196657155952,39.549702819113016,4.0,256.0,6582.063565527399,25.711185802841403
chat,int4,gptq_marlin,4,30,0.4718795721944992,0.07691368012755988,0.4449521819692509,0.4986877373086933,1.8875182887779969,1.7798087278770036,1.9947509492347733,0.7074073258725784,0.6852679466955971,0.7288850443190641,0.5167648379190577,0.48781189118004126,0.5457547562785667,0.37951720470665434,0.34894757532874243,0.4127944166042912,0.2838289202797065,0.2530920395224098,0.32070148281418104,2768.033925630152,2670.903560270866,2867.919486326476,9417.229572311044,9313.361762712399,9535.307928174734,27.210921412950984,26.881125233166053,27.50573830027823,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29333760316805874,0.2862322421417561,0.3007357228752831,0.0,0.0,0.0,0.0,0.0,0.0,89.83333333333333,2767.3406411583223,30.821209179336027,4.0,256.0,6584.0175128852325,25.71881840970794
chat,int8,gptq,4,30,0.509969716584127,0.07545094247556959,0.48541539036033604,0.5372877554647402,2.039878866336508,1.9416615614413442,2.1491510218589607,0.7354701029667808,0.7163841125666487,0.7543838841144341,0.5584274806761319,0.5322943848819277,0.5855051126073578,0.4190380129101578,0.3871121384831206,0.45541556925441096,0.32694326978343746,0.29539756946986284,0.3669216168248777,2962.1676184237003,2860.105724260211,3053.1910948455334,9537.06835899502,9439.251829870045,9626.725444259742,26.863445373019587,26.607938688057317,27.1395823164019,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3100423426625343,0.3024588426493981,0.3168028857278334,0.0,0.0,0.0,0.0,0.0,0.0,85.16666666666667,2961.5550151094794,34.78196783695469,4.0,256.0,6512.324603584905,25.438767982753536
reasoning,bf16,none,4,30,0.5252307466913074,0.09042404473382082,0.49671920613512993,0.5592750476783309,2.1009229867652297,1.9868768245405197,2.2371001907133237,0.7437765198493543,0.7205552163817679,0.7696544694696136,0.5579372653497542,0.5275918431677926,0.594214145612123,0.4426414372016351,0.409792757653027,0.4819919920268836,0.3565677643644859,0.32137569550240647,0.3997278320455949,3487.72100713104,3301.586155282954,3652.0397444566092,10496.219484818479,10117.453829944134,10846.904625371099,24.61305009264251,23.84666375222945,25.4507942209592,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33137601497244107,0.3220983849500836,0.33924540424102656,0.0,0.0,0.0,0.0,0.0,0.0,83.76666666666667,3487.0883235087,41.61319017460666,4.0,256.0,6897.027304954827,26.941512909979792
reasoning,int4,gptq_marlin,4,30,0.499635045752869,0.09038205251614867,0.47177972222237224,0.534744362162739,1.998540183011476,1.887118888889489,2.138977448650956,0.7287868945166495,0.708863162071193,0.7512969742439843,0.5323676358708677,0.502676440949075,0.5682111943371265,0.41499117627397136,0.38028224400789734,0.4560574549241589,0.3223944763499876,0.2868895986838626,0.3674376372831827,2789.0359281251826,2649.910453148186,2931.8436274925866,9738.907081571719,9420.683887725076,10090.498594753444,26.508068392624722,25.61041321762103,27.29414201574684,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28542674197525436,0.2772059289545065,0.29253683751024795,0.0,0.0,0.0,0.0,0.0,0.0,86.63333333333334,2788.4265625849366,32.12034431751532,4.0,256.0,6849.069783091545,26.754178840201348
reasoning,int8,gptq,4,30,0.5224521534349291,0.08731510541367657,0.4951912753956605,0.5551420015107877,2.0898086137397165,1.980765101582642,2.220568006043151,0.7372310051499643,0.7144307474361662,0.763080245973855,0.554422542631713,0.5257473949261507,0.5888413951908861,0.4415748908862811,0.41106312756140617,0.4767210618073512,0.35658017507175804,0.3228063085729872,0.3978663368946976,2947.4724205831685,2836.0640589147806,3043.9825173467398,9559.499817093214,9447.36717597892,9657.117828664681,26.805946029910526,26.527748557144623,27.12146897657801,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076738654240829,0.29954394813906876,0.31466988070846147,0.0,0.0,0.0,0.0,0.0,0.0,84.03333333333333,2946.871094405651,35.06793607571973,4.0,256.0,6546.951865839462,25.574030725935398
