task,draft_precision,quant_method,gamma,num_prompts,acceptance_rate_mean,acceptance_rate_std,mean_accepted_length_mean,position_1_acceptance,position_2_acceptance,position_3_acceptance,position_4_acceptance,draft_time_ms_mean,total_wall_time_ms_mean,tokens_per_second_mean,quality_mean,draft_cost_share_mean
reasoning,bf16,none,4,10,0.6226587301587302,0.19394154272735084,2.4906349206349208,0.7604761904761905,0.645079365079365,0.5696825396825397,0.5153968253968254,1149.235950782895,1874.2033844813704,9.494858253594648,1.0,0.5813656043786991
reasoning,int4,bnb,4,10,0.5616666666666666,0.13980144650340512,2.2466666666666666,0.7608333333333334,0.5983333333333334,0.49833333333333335,0.38916666666666666,2217.6803274080157,2991.655448079109,5.517408082657815,1.0,0.7360727121087267
reasoning,int8,bnb,4,10,0.6084920634920635,0.20015386418943354,2.433968253968254,0.7221428571428571,0.6100793650793651,0.568015873015873,0.5337301587301587,6037.355265207589,6850.931500643492,2.4910590149962704,1.0,0.8759701612205479
