display_order,task,variant,backend,draft_precision,quant_method,gamma,num_prompts,acceptance_rate_mean,position_1_acceptance,position_2_acceptance,position_3_acceptance,position_4_acceptance,draft_time_ms_mean,total_wall_time_ms_mean,tokens_per_second_mean,quality_mean,draft_backend_ms_per_call
1,chat,HF BF16,hf,bf16,none,4,10,0.4875,0.74,0.59,0.3725,0.2475,1278.2161239534616,2059.161758981645,8.282191015138965,1.0,
2,chat,HF bnb INT8,hf,int8,bnb,4,10,0.49166666666666664,0.7566666666666667,0.5941666666666666,0.385,0.23083333333333333,7389.447437413037,8336.153096705675,1.9705550521731727,1.0,
3,chat,HF bnb INT4,hf,int4,bnb,4,10,0.41985119047619046,0.6772619047619047,0.49273809523809525,0.30857142857142855,0.20083333333333334,3113.134570606053,4023.1091586872935,4.203121260527146,1.0,
4,chat,vLLM GPTQ INT4,vllm,int4,gptq_marlin,4,10,0.40029761904761907,0.7148809523809524,0.47619047619047616,0.2517857142857143,0.15833333333333333,438.6391367763281,1448.7284300848842,11.625879176584416,1.0,67.58625751826912
1,reasoning,HF BF16,hf,bf16,none,4,10,0.6226587301587302,0.7604761904761905,0.645079365079365,0.5696825396825397,0.5153968253968254,1149.235950782895,1874.2033844813704,9.494858253594648,1.0,
2,reasoning,HF bnb INT8,hf,int8,bnb,4,10,0.6084920634920635,0.7221428571428571,0.6100793650793651,0.568015873015873,0.5337301587301587,6037.355265207589,6850.931500643492,2.4910590149962704,1.0,
3,reasoning,HF bnb INT4,hf,int4,bnb,4,10,0.5616666666666666,0.7608333333333334,0.5983333333333334,0.49833333333333335,0.38916666666666666,2217.6803274080157,2991.655448079109,5.517408082657815,1.0,
4,reasoning,vLLM GPTQ INT4,vllm,int4,gptq_marlin,4,10,0.618030303030303,0.7698484848484849,0.6331818181818182,0.5674242424242424,0.5016666666666667,302.6770878583193,1240.8670533448458,13.077726807906659,1.0,57.73469553187941
