task,draft_precision,quant_method,gamma,num_prompts,acceptance_rate_mean,acceptance_rate_std,acceptance_rate_ci_low,acceptance_rate_ci_high,mean_accepted_length_mean,mean_accepted_length_ci_low,mean_accepted_length_ci_high,position_1_acceptance,position_1_acceptance_ci_low,position_1_acceptance_ci_high,position_2_acceptance,position_2_acceptance_ci_low,position_2_acceptance_ci_high,position_3_acceptance,position_3_acceptance_ci_low,position_3_acceptance_ci_high,position_4_acceptance,position_4_acceptance_ci_low,position_4_acceptance_ci_high,draft_time_ms_mean,draft_time_ms_ci_low,draft_time_ms_ci_high,total_wall_time_ms_mean,total_wall_time_ms_ci_low,total_wall_time_ms_ci_high,tokens_per_second_mean,tokens_per_second_ci_low,tokens_per_second_ci_high,quality_mean,quality_ci_low,quality_ci_high,semantic_exact_match_mean,semantic_normalized_match_mean,semantic_token_f1_mean,semantic_length_ratio_mean,task_exact_match_mean,task_exact_match_ci_low,task_exact_match_ci_high,draft_cost_share_mean,draft_cost_share_ci_low,draft_cost_share_ci_high,draft_forward_calls_mean,draft_model_forward_time_ms_mean,draft_model_forward_ms_per_call,draft_input_tokens_per_forward,draft_extend_cache_ratio,draft_cache_reset_calls_mean,draft_propose_calls_mean,draft_model_generate_time_ms_mean,draft_model_generate_ms_per_call,draft_generated_tokens_per_call,target_forward_calls_mean,target_model_forward_time_ms_mean,target_model_forward_ms_per_call
chat,int4,awq,4,30,0.47208333333333335,0.1496940458091706,0.4163888888888889,0.5317162698412699,1.8883333333333334,1.6655555555555557,2.1268650793650794,0.7208730158730159,0.6667460317460318,0.7723809523809524,0.5126587301587302,0.4417857142857143,0.5826984126984127,0.3827380952380952,0.30698412698412697,0.46305555555555555,0.27206349206349206,0.2007936507936508,0.3549206349206349,201.80899687111378,186.44694654891887,216.07522933433452,619.2771012584368,602.7347426240643,635.203300540646,25.966442051370553,25.282448978215292,26.682673931245485,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32360934899654925,0.3064273406041216,0.3400057051961969,0.0,0.0,0.0,0.0,0.0,0.0,5.966666666666667,201.75211181243262,33.935482875177904,4.0,16.0,412.2311019649108,25.764443872806925
reasoning,int4,awq,4,30,0.5904993386243387,0.19703018287640656,0.5183531746031746,0.6580291005291006,2.3619973544973547,2.0734126984126986,2.6321164021164023,0.7561507936507936,0.692936507936508,0.8216666666666667,0.5965343915343915,0.5237566137566138,0.6666931216931217,0.5394179894179895,0.4657142857142857,0.6173015873015874,0.4698941798941799,0.38447089947089946,0.558042328042328,182.98567806680998,166.07609645773968,201.44501371930042,608.2759470368425,590.599999949336,626.9117665787538,26.49697669525624,25.736425472146312,27.258627989598224,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29663983949607725,0.27686244197819615,0.317701579493984,0.0,0.0,0.0,0.0,0.0,0.0,5.266666666666667,182.93483052402735,34.73289721184681,4.0,16.0,419.7353872160117,26.23346170100073
