task,draft_precision,quant_method,gamma,num_prompts,acceptance_rate_mean,acceptance_rate_std,mean_accepted_length_mean,position_1_acceptance,position_2_acceptance,position_3_acceptance,position_4_acceptance,draft_time_ms_mean,total_wall_time_ms_mean,tokens_per_second_mean,quality_mean,draft_cost_share_mean
reasoning,bf16,none,4,10,0.7580357142857143,0.06815801094355906,3.032142857142857,0.9305555555555556,0.7986111111111112,0.6996031746031746,0.6033730158730158,624.2031939327717,1085.0045248866081,35.68429130207071,1.0,0.5112200763791279
reasoning,int4,bnb,4,10,0.6881746031746032,0.1236168659008446,2.752698412698413,0.8664141414141414,0.7371284271284271,0.6617243867243867,0.48743145743145744,1221.6162387281656,1712.7654762938619,20.08073324625049,1.0,0.7025596341587025
reasoning,int8,bnb,4,10,0.8546130952380953,0.08960026437852002,3.418452380952381,0.9527777777777777,0.9259920634920635,0.8091269841269841,0.7305555555555555,2054.4693553820252,2512.928054854274,13.024771591803516,1.0,0.8149517299224789
