task,draft_precision,quant_method,gamma,num_prompts,acceptance_rate_mean,acceptance_rate_std,mean_accepted_length_mean,position_1_acceptance,position_2_acceptance,position_3_acceptance,position_4_acceptance,draft_time_ms_mean,total_wall_time_ms_mean,tokens_per_second_mean,quality_mean,draft_cost_share_mean,draft_forward_calls_mean,draft_model_forward_time_ms_mean,draft_model_forward_ms_per_call,draft_input_tokens_per_forward,draft_extend_cache_ratio,draft_cache_reset_calls_mean,target_forward_calls_mean,target_model_forward_time_ms_mean,target_model_forward_ms_per_call
chat,bf16,none,4,10,0.4875,0.15220314914978306,1.95,0.74,0.59,0.3725,0.2475,1249.7334532439709,2044.2668914794922,8.095617540584286,1.0,0.6043983391353127,23.6,1235.1879756897688,55.227696483877175,4.005,0.838125,3.9,16.0,787.7819947898388,49.236374674364924
chat,int8,bnb,4,10,0.49166666666666664,0.15077059008086865,1.9666666666666666,0.7566666666666667,0.5941666666666666,0.385,0.23083333333333333,12186.01597417146,13608.212096244097,1.2133982162253176,1.0,0.8927052368305806,23.6,12171.720135211945,518.4556863026228,3.9935416666666668,0.8370833333333333,3.9,16.0,1407.896931655705,87.99355822848156
