task,draft_precision,quant_method,gamma,num_prompts,acceptance_rate_mean,acceptance_rate_std,mean_accepted_length_mean,position_1_acceptance,position_2_acceptance,position_3_acceptance,position_4_acceptance,draft_time_ms_mean,total_wall_time_ms_mean,tokens_per_second_mean,quality_mean,draft_cost_share_mean
chat,bf16,none,4,10,0.8398809523809524,0.088331207457412,3.3595238095238096,0.9527777777777777,0.8773809523809524,0.7970238095238095,0.7323412698412698,629.9593122676015,1157.340489514172,32.63048070001985,1.0,0.49571295576493435
chat,int4,bnb,4,10,0.729375,0.1570380382962637,2.9175,0.8952272727272728,0.7593506493506493,0.6585064935064935,0.6044155844155844,1421.5019956231117,2049.3470516055822,17.546136487957668,1.0,0.6703577696976184
chat,int8,bnb,4,10,0.884375,0.06751115979176016,3.5375,0.975,0.9375,0.8392857142857143,0.7857142857142857,2537.209961004555,3162.611962482333,10.56434940461238,1.0,0.7994965210827133
