task,draft_precision,quant_method,gamma,num_prompts,acceptance_rate_mean,acceptance_rate_std,mean_accepted_length_mean,position_1_acceptance,position_2_acceptance,position_3_acceptance,position_4_acceptance,draft_time_ms_mean,total_wall_time_ms_mean,tokens_per_second_mean,quality_mean,draft_cost_share_mean
chat,bf16,none,4,2,0.7976190476190477,0.130952380952381,3.1904761904761907,0.8888888888888888,0.8333333333333333,0.8333333333333333,0.6349206349206349,1591.005278751254,2343.5969250276685,16.646338351942116,0.0,0.5973388761312507
chat,int4,bnb,4,2,0.7392857142857143,0.18928571428571428,2.9571428571428573,0.9,0.8,0.6285714285714286,0.6285714285714286,2599.4274988770485,3488.8374553993344,11.483890651907842,0.0,0.6994555021868304
chat,int8,bnb,4,2,0.9285714285714286,0.0,3.7142857142857144,1.0,1.0,0.8571428571428571,0.8571428571428571,3843.0617563426495,4841.298819519579,6.712458757576208,0.0,0.7923808621682641
