display_order,task,variant,backend,draft_precision,quant_method,gamma,num_prompts,acceptance_rate_mean,position_1_acceptance,position_2_acceptance,position_3_acceptance,position_4_acceptance,draft_time_ms_mean,total_wall_time_ms_mean,tokens_per_second_mean,quality_mean,semantic_token_f1_mean,semantic_length_ratio_mean,draft_backend_ms_per_call
1,chat,HF BF16,hf,bf16,none,4,30,0.4949900793650794,0.7381746031746032,0.5415873015873016,0.40499999999999997,0.2951984126984127,943.3757785707712,1557.3655261347692,10.897790197451334,1.0,1.0,1.0,0.0
4,chat,vLLM GPTQ INT4,vllm,int4,gptq_marlin,4,30,0.4664087301587302,0.7308333333333333,0.5187301587301587,0.35797619047619045,0.2580952380952381,263.5786334673564,888.4843541309237,18.177201186894493,1.0,1.0,1.0,43.12690015438767
1,reasoning,HF BF16,hf,bf16,none,4,30,0.5698710317460317,0.7461640211640211,0.580595238095238,0.5046428571428572,0.4480820105820106,837.497973938783,1419.5057837292552,11.806885090631956,1.0,1.0,1.0,0.0
4,reasoning,vLLM GPTQ INT4,vllm,int4,gptq_marlin,4,30,0.5662647306397306,0.7463383838383838,0.5727272727272728,0.5110858585858585,0.4349074074074074,240.0410434231162,887.8848225499192,18.453579456596007,1.0,1.0,1.0,43.544030649954394
